Question Speaker,Question Text,Answer Speaker,Answer Text
Woman Interviewer:,"Woman Interviewer:Yes, Your Grace, it seems to many people that there is probably more. There are probably more people in the world now who are seeking some kind of spiritual new light than probably ever before, or at least, there's more evidence of it. And I wonder if you agreed with that, and if so can you tell me why it is?",Prabhupāda,"Yes, That should be the natural hankering with us. Because we are spirit soul we cannot be happy in material atmosphere. Just like you take out the fish from the water, it cannot be happy on the land, similarly, if we are without spiritual consciousness we can never be happy. So people after advancement of scientific knowledge and economic development, they are not happy. They are becoming hippies. So the cause is that they're in search of spiritual life and this is the proper delivery,Kṛṣṇaconsciousness, or God consciousness."
Woman Interviewer:,Woman Interviewer:Thank you. So presumably you would encourage this movement of more people to find a spiritual life. You...,Prabhupāda,"Yes, unless you take to this movement, you cannot be happy. That's a fact. Therefore we invite everyone to study, to understand this great movement."
Woman Interviewer:,"Woman Interviewer:What worries me slightly is that since the arrival in Britain some while ago of the Maharishi MaheshYogi, a lot of... He was the firstguruthat most people ever heard of, and since then there have been a lot of people and a lot of gurus that have suddenly appeared out of nowhere. And one gets the feeling that sometimes they're not all as genuine as they ought to be, and I wondered whether you feel that it's right that you could perhaps issue a warning to people who are seeking some new spiritual life that they should take care to make sure they have a genuineguruto teach them.",Prabhupāda,Yes.
Woman Interviewer:,Woman Interviewer:Do you feel there's a danger?,Prabhupāda,"Of course, to search outguruis very nice. But if you want a cheapguruor if you want to be cheated, then there will be many cheater gurus. But if you are sincere, then you'll have sincereguru. People want to be cheated because they want everything very cheap. But just like we are asking people no illicit sex, no meat-eating, no gambling, no intoxication. So people think it is very difficult, it is botheration. And if somebody says, ""No, you do. Whatever nonsense you like do. You simply take mymantra,"" they will like it. So the thing is that they want to be cheated; therefore cheaters come. They don't want to undergo some austerity. Human life is meant for austerity. But they are not prepared to undergo austerity. Suppose some cheaters come. They say, ""Oh, no austerity. Whatever you like you do. You simply pay me and I'll give you some particularmantra,and you become God within six months."" (Laughter) And that is going on. So you want to be, if people want to be cheated like that, the cheaters will come."
Woman Interviewer:,Woman Interviewer:So do you think people should beware?,Prabhupāda,They should be serious.
Woman Interviewer:,"Woman Interviewer:I mean if someone in all seriousness wishes to find the spiritual life and happens to finish up with the wrongguru, I mean should they beware?",Prabhupāda,"Yes. But... When ordinary education, to take ordinary education one has to devote so much time, labor, and understand, and if one is going to take spiritual life they must be serious. And how is that, they think that simply by some wonderfulmantrawithin six months they become God? Why they want like that? That is... That means they want to be cheated."
Woman Interviewer:,Woman Interviewer:And how would one tell that one had a genuinegurubecause one would be told to give up certain parts of...?,Prabhupāda,"That of course depends on the person who is really anxious forguru. Just like when you go to the market to purchase some thing, you test it whether it is genuine or not. Similarly, you have to test who is genuine."
Woman Interviewer:,Woman Interviewer:How can you tell if you don't...?,Prabhupāda,"That requires little education, a little knowledge. Therefore we are opening so many centers, giving people opportunity to know what is genuine, what is not genuine."
Woman Interviewer:,Woman Interviewer:How many followers have you got now throughout the world or can you not count...?,Prabhupāda,"Well, for any genuine thing the followers may be very little, and any rubbish thing, the followers may be many."
Woman Interviewer:,"Woman Interviewer:How many... I meant for the initiated followers, people who have...",Prabhupāda,About three thousand we have got.
Woman Interviewer:,Woman Interviewer:And is it growing all the time?,Prabhupāda,"Yes, it is growing very slowly. Because we have got so many restrictions. People do not like any restriction."
Woman Interviewer:,Woman Interviewer:Yes. Where is the following the greatest? It is in America?,Prabhupāda,"In America, in Europe, and Canada, inJapan, Australia. And India there is millions, there is millions of this cult. Apart from India, in other countries they are small quantity. But in India there are millions and millions."
Male Interviewer:,Male Interviewer:Do you think your movement is the only way to come to know God?,Prabhupāda,What is that?
Devotee:,Devotee:Do you think this movement is the only way to know God?,Prabhupāda,Yes.
Male Interviewer:,Male Interviewer:So how do you have that assurance?,Prabhupāda,"From the authorities, from God,Kṛṣṇa.Kṛṣṇasays,sarva-dharmānparityajyamāmekaṁśaraṇaṁvraja[Bg.18.66]."
Śyāmasundara:,Śyāmasundara:It's not that we don't accept other religious processes.,Prabhupāda,"No, we believe other process. Just like there are steps. If you want to go to the topmost story, so you go by steps. So some of them have gone fifty steps, some of them have gone hundred steps, but to complete the required steps is 1,000 steps."
Male Interviewer:,Male Interviewer:And you've gone up the thousand have you?,Prabhupāda,Yes.
Woman Interviewer:,Woman Interviewer:If any of us here this morning wish to become followers what would we have to give or give up?,Prabhupāda,First of all one has to give up illicit sex life.
Woman Interviewer:,Woman Interviewer:Does that include all sex life or...?,Prabhupāda,Huh?
Woman Interviewer:,Woman Interviewer:What is illicit?,Prabhupāda,"Illicit sex (is) without marriage, without any relation, sex life, that is illicit sex life."
Woman Interviewer:,"Woman Interviewer:So sex is allowed in marriage, but not outside.",Prabhupāda,"That is animal sex life. Just as animals, they have no relationship and have sex life. But human society there is restriction. In every country, in every religion there is a system of marriage. So without marriage, sex life is illicit sex life."
Woman Interviewer:,Woman Interviewer:But sex is allowed within marriage.,Prabhupāda,"Yes, that is..."
Woman Interviewer:,Woman Interviewer:And what else would one have to give up for...,Prabhupāda,One has to give up all kinds of intoxicants.
Woman Interviewer:,Woman Interviewer:Is that drugs and spirits?,Prabhupāda,Any kind of drug that intoxicates.
Śyāmasundara:,Śyāmasundara:Even tea and...,Prabhupāda,"Even tea, cigarette. They are also intoxicants."
Woman Interviewer:,"Woman Interviewer:So that includes alcohol, marijuana, tea. Anything else?",Prabhupāda,"Yes. One has to give up animal food. All kinds of animal food. Meat, eggs, fish, like that. And one has to give up gambling."
Woman Interviewer:,"Woman Interviewer:Does one have to leave one's family? I think everybody lives in the temple, don't they?",Prabhupāda,"Oh, yes. Unless one gives up all these sinful activities one cannot be initiated."
Woman Interviewer:,Woman Interviewer:So one should give up one's family as well?,Prabhupāda,Family?
Woman Interviewer:,"Woman Interviewer:To be a for..., yes.",Prabhupāda,"Of course, family. We are not concerned with the family, we are concerned with the individual person. If one wants to be initiated in thisKṛṣṇaconsciousness movement he has to give up all these sinful activities."
Śyāmasundara:,Śyāmasundara:No.,Prabhupāda,Not necessarily.
Woman Interviewer:,"Woman Interviewer:Oh, I could stay at home?",Prabhupāda,"Oh, yes."
Woman Interviewer:,"Woman Interviewer:What about work, though? Does one have to give up one's job?",Prabhupāda,"You have to give up these bad habits and chant these beads,HareKṛṣṇamantra.That's all."
Woman Interviewer:,Woman Interviewer:Would I have to give any financial support?,Prabhupāda,"No, that's your voluntary wish. If you give us, that's all right. Otherwise, we don't mind."
Woman Interviewer:,"Woman Interviewer:Sorry, I didn't understand.",Prabhupāda,"We do not want, depend on anyone's financial contributions. We depend on God, orKṛṣṇa."
Woman Interviewer:,Woman Interviewer:So I wouldn't have to give any money at all.,Prabhupāda,No.
Woman Interviewer:,Woman Interviewer:Is this one of the main things that distinguishes a genuinegurufrom a fakeguru?,Prabhupāda,"Yes. A genuineguruis not a business man. Our... (end) Therefore His teachings, crude, teachings, cannot be now applied to the modern advanced educated people. That was suitable for those people. Now people have advanced in science, in philosophy. Now God consciousness ...and should be presented on the basis of science and philosophy. Otherwise people will not accept."
