Question Speaker,Question Text,Answer Speaker,Answer Text
Tamāla,"TamālaKṛṣṇa:The first thing about this... Can you tell me something about Lord Caitanya's birth, when He was born, what happened, what was it like, all about it.",Prabhupāda,When He was...? Description of His birth?
Tamāla,"TamālaKṛṣṇa:Well, we will have a scene showing the people chanting by the...""",Prabhupāda,"One scene you have to show that in the Ganges water people are taking bath, and there is on the sky beginning of the moon eclipse, lunar eclipse. And they are all chantingHareKṛṣṇaand taking bath. And exactly at that timeCaitanyaMahāprabhuappeared. This is one scene. And the appearance ofCaitanyaMahāprabhushould be underneath a tree. Under this scene, this scene, one...AdvaitaPrabhu's wife, Śrīvāsa's wife, they were elderly, and all other women of the village, they immediately came with presentation. And some of the demigods, they also came, I mean to say, disguising themselves as ordinary men, with presentation. And His father got so many valuable presentations. And then again, some of the professional dancers, they came. So he distributed charity to them. In this way, that function... Try to..."
Tamāla,TamālaKṛṣṇa:WasNāradathere? DidNāradaMunicome?,Prabhupāda,"Yes.NāradaMunialso came. You can show that. Yes. all thedevatas,all the demigods came.NāradaMuni,Brahmā, Śiva. They came in disguise, and their wife,Savitri, and thenUmā.Umāis the wife of Lord Śiva. In that way you can show so many demigods and their wives coming. Yes."
Tamāla,"TamālaKṛṣṇa:All the women, when LordCaitanyawas a baby, how did they feel about Him?",Prabhupāda,"The baby was on the lap of His mother, and they looked little far-off, just to glance over the baby, not touching. Because newly born baby. So they saw from little distant. That's all. And the baby was very beautiful. He was golden complexion. And His grandfather was a great astrologer, His mother's father,NīlāmbaraCakravartī. He immediately calculated His horoscope, constellation of the stars under which He was born. He calculated that ""This boy will be a great reformer."""
Tamāla,TamālaKṛṣṇa:What is the position of astrology inKṛṣṇaconsciousness?,Prabhupāda,"Astrology is a science.Kṛṣṇaconsciousness has nothing to do with astrology, but it is the general custom that as soon as a child is born the astrologers come. That is the Indian system, Vedic system."
Tamāla,"TamālaKṛṣṇa:LordCaitanya, He would cry so that He could hear them chantingHareKṛṣṇato Him?",Prabhupāda,"Yes. That was not on that day, but when He was little grown up. As soon as He would cry, so the neighboring friends of His mother, all young girls would come and chantHareKṛṣṇaand He'll stop. Sometimes they would tease Him so that He may cry, and they'll see that He's crying, and they'll chantHareKṛṣṇa, and He'll stop. Again tease. (laughs) So thatCaitanyaMahāprabhuwas preachingHareKṛṣṇachanting by His childhood activities."
Tamāla,TamālaKṛṣṇa:What are some of the things that He did when He was a little boy? Some tricks or things?,Prabhupāda,"Sometimes He would play with snakes. One day, when He was crawling in the courtyard... Indian house... As, just like here is compound outside. In Indian house there is courtyard inside. So He was crawling in the yard, and a snake came, a snake. And He began to play with the snake. The snake will do like this and crawling, and He would see it, He wouldstrike. In this way the snake was playing and the mother became so much afraid. They cannot touch. If the snake bites... So they simply saw that the child is playing with the snake, and after some time the snake went away. And they took up the child, ""Oh, God has saved this child, otherwise He would have been killed. Such a venomous, big snake."""
Govinda,Govindadāsī:It was a big snake? Very big? And was it Śeṣa?,Prabhupāda,"That is another thing. It may be understood that he was Śeṣa, but that was the incident. And another incident is that when He was just walking... So it is the system that small children, they are decorated with ornaments here, here, bangle, so many ornaments, here. So one thief saw that... He stole away the child. So he was seeking some secret place, lonely place, so that he can rob of... In this way seeking, seeking, he traveled, and at last he came just in front of the house, and he dropped the child, that ""Somebody may see that I have taken this child. Then I'll be beaten, I will be caught."" So out of fear he fled away. And the guardians, ladies, they were very much anxious, ""Who has taken the child? He was with ornaments."" But they saw that the child is there. SoCaitanyaMahāprabhuenjoyed for some time on the shoulder of the thief."
Tamāla,TamālaKṛṣṇa:Were they liberated souls? The thief?,Prabhupāda,"At least, afterCaitanyaMahāprabhu's getting on their shoulders, (laughs) they must have been liberated. No flower? Bring some flower."
Tamāla,TamālaKṛṣṇa:He would sometimes eat clay?,Prabhupāda,"Yes. That was when He was about three years old. So generally, for morning the children given nicesandeṣa,sweetmeat, and this puffed rice in a cane pot and He would eat. ButCaitanyaMahāprabhuwas eating clay. So His mother said, ""Oh, why You are eating clay?"" Then He said, ""What is the difference between clay and this foodstuff? After all, everything is clay. It is produced from clay."" This is criticizing theMāyāvādīphilosophy that everything is one. So His mother said, ""My dear boy, it is very nice, everything is clay. But when you have to use for practical purpose... For example, if you want to keep water, so you have to keep water on the clay pot, not on the clay. So this specific form of the clay is required."" Then He said, ""Mother, you have taught Me very nice philosophy. I shall not eat any more clay."" Sometimes He would sit in some nasty place where pots, clay pots... In India still, the system is, for cooking purpose, for the Deity, every day a new clay pot should be used. In Jagannath temple still it is. No used pot can be accepted. So after using, the rejected pots are stacked in some place. SoCaitanyaMahāprabhuwas sitting on the rejected pots. So His mother said, ""My dear boy, You are sitting in this nasty place. Why?"" He said, ""Well, how you can say this is nasty place? These pots are very pure."" Hm? [break]"
